"timstamp","fx_rate","timestamp for entry"
"1636587603000","0.733084","2021-11-10"
"1636587617000","0.7332","2021-11-10"
"1636587628000","0.73308","2021-11-10"
"1636587637000","0.73307","2021-11-10"
"1636587648000","0.73307","2021-11-10"
"1636587658000","0.73306","2021-11-10"
"1636587668000","0.733079","2021-11-10"
"1636587677000","0.7333","2021-11-10"
"1636587689000","0.73308","2021-11-10"
"1636587697000","0.7332","2021-11-10"
"1636587709000","0.73307","2021-11-10"
"1636587718000","0.7333","2021-11-10"
"1636587730000","0.73308","2021-11-10"
"1636587733000","0.73306","2021-11-10"
"1636587733000","0.73306","2021-11-10"
"1636587733000","0.73306","2021-11-10"
"1636587771000","0.7334","2021-11-10"
"1636587781000","0.733192","2021-11-10"
"1636587792000","0.733084","2021-11-10"
"1636587802000","0.733299","2021-11-10"
"1636587811000","0.73301","2021-11-10"
"1636587822000","0.73313","2021-11-10"
"1636587832000","0.7333","2021-11-10"
"1636587842000","0.733009","2021-11-10"
"1636587853000","0.73302","2021-11-10"
"1636587862000","0.7333","2021-11-10"
"1636587872000","0.7332","2021-11-10"
"1636587883000","0.73303","2021-11-10"
"1636587892000","0.7333","2021-11-10"
"1636587905000","0.733068","2021-11-10"
"1636587914000","0.733052","2021-11-10"
"1636587925000","0.73303","2021-11-10"
"1636587933000","0.73303","2021-11-10"
"1636587945000","0.73302","2021-11-11"
"1636587956000","0.733068","2021-11-10"
"1636587961000","0.733089","2021-11-10"
"1636587974000","0.733041","2021-11-10"
"1636587987000","0.73304","2021-11-11"
"1636587997000","0.73306","2021-11-10"
"1636588006000","0.733084","2021-11-10"
"1636588014000","0.73304","2021-11-10"
"1636588028000","0.73309","2021-11-11"
"1636588038000","0.7332","2021-11-10"
"1636588049000","0.73309","2021-11-10"
"1636588058000","0.7334","2021-11-10"
"1636588069000","0.733159","2021-11-11"
"1636588079000","0.7333","2021-11-10"
"1636588089000","0.733159","2021-11-10"
"1636588099000","0.7334","2021-11-11"
"1636588109000","0.7334","2021-11-10"
"1636588120000","0.73315","2021-11-10"
"1636588130000","0.73317","2021-11-10"
"1636588141000","0.7334","2021-11-11"
"1636588150000","0.73325","2021-11-10"
"1636588161000","0.73323","2021-11-10"
"1636588167000","0.73323","2021-11-10"
"1636588180000","0.73323","2021-11-11"
"1636588190000","0.73324","2021-11-10"
"1636588201000","0.73322","2021-11-10"
"1636588212000","0.733321","2021-11-11"
"1636588216000","0.73324","2021-11-11"
"1636588226000","0.73322","2021-11-10"
"1636588242000","0.733315","2021-11-10"
"1636588242000","0.733315","2021-11-11"
"1636588263000","0.73323","2021-11-11"
"1636588272000","0.733299","2021-11-10"
"1636588280000","0.73323","2021-11-10"
"1636588292000","0.73319","2021-11-11"
"1636588305000","0.733181","2021-11-11"
"1636588315000","0.73316","2021-11-10"
"1636588322000","0.7333","2021-11-10"
"1636588333000","0.733514","2021-11-11"
"1636588346000","0.73321","2021-11-11"
"1636588352000","0.7335","2021-11-10"
"1636588363000","0.7334","2021-11-11"
"1636588374000","0.73322","2021-11-11"
"1636588386000","0.73327","2021-11-11"
"1636588396000","0.733278","2021-11-10"
"1636588404000","0.733272","2021-11-11"
"1636588418000","0.7334","2021-11-11"
"1636588428000","0.733514","2021-11-10"
"1636588438000","0.733514","2021-11-10"
"1636588448000","0.7335","2021-11-11"
"1636588458000","0.733407","2021-11-11"
"1636588468000","0.7337","2021-11-10"
"1636588478000","0.733331","2021-11-11"
"1636588488000","0.7336","2021-11-11"
"1636588500000","0.733348","2021-11-11"
"1636588510000","0.73338","2021-11-10"
"1636588520000","0.73337","2021-11-11"
"1636588530000","0.733514","2021-11-11"
"1636588540000","0.73335","2021-11-11"
"1636588551000","0.73337","2021-11-10"
"1636588560000","0.73337","2021-11-11"
"1636588570000","0.73336","2021-11-11"
"1636588582000","0.733358","2021-11-11"
"1636588590000","0.73337","2021-11-11"
"1636588602000","0.7336","2021-11-11"
"1636588612000","0.7334","2021-11-11"
"1636588623000","0.73337","2021-11-10"
"1636588632000","0.733428","2021-11-11"
"1636588642000","0.7336","2021-11-11"
"1636588650000","0.733622","2021-11-11"
"1636588663000","0.73338","2021-11-10"
"1636588670000","0.733622","2021-11-11"
"1636588682000","0.7337","2021-11-11"
"1636588694000","0.73339","2021-11-11"
"1636588702000","0.7336","2021-11-10"
"1636588712000","0.733622","2021-11-11"
"1636588722000","0.733455","2021-11-11"
"1636588733000","0.7335","2021-11-11"
"1636588743000","0.73339","2021-11-11"
"1636588756000","0.733439","2021-11-11"
"1636588767000","0.733514","2021-11-11"
"1636588773000","0.7335","2021-11-11"
"1636588784000","0.73344","2021-11-11"
"1636588798000","0.7335","2021-11-11"
"1636588807000","0.733622","2021-11-11"
"1636588815000","0.73341","2021-11-11"
"1636588828000","0.7334","2021-11-11"
"1636588837000","0.733622","2021-11-11"
"1636588849000","0.7336","2021-11-11"
"1636588855000","0.733412","2021-11-11"
"1636588869000","0.73339","2021-11-11"
"1636588879000","0.733299","2021-11-11"
"1636588889000","0.733514","2021-11-11"
"1636588900000","0.73317","2021-11-11"
"1636588910000","0.73322","2021-11-11"
"1636588921000","0.73321","2021-11-11"
"1636588931000","0.733192","2021-11-11"
"1636588941000","0.73316","2021-11-11"
"1636588950000","0.73313","2021-11-11"
"1636588962000","0.73307","2021-11-11"
"1636588972000","0.733111","2021-11-11"
"1636588982000","0.7332","2021-11-11"
"1636588993000","0.733186","2021-11-11"
"1636589001000","0.7334","2021-11-11"
"1636589013000","0.73323","2021-11-11"
"1636589023000","0.733245","2021-11-11"
"1636589033000","0.73317","2021-11-11"
"1636589041000","0.73316","2021-11-11"
"1636589053000","0.733192","2021-11-11"
"1636589064000","0.73305","2021-11-11"
"1636589074000","0.733052","2021-11-11"
"1636589085000","0.7332","2021-11-11"
"1636589091000","0.7331","2021-11-11"
"1636589106000","0.73303","2021-11-11"
"1636589115000","0.73301","2021-11-11"
"1636589125000","0.733","2021-11-11"
"1636589131000","0.7331","2021-11-11"
"1636589146000","0.733","2021-11-11"
"1636589156000","0.7333","2021-11-11"
"1636589167000","0.7333","2021-11-11"
"1636589175000","0.733192","2021-11-11"
"1636589188000","0.73307","2021-11-11"
"1636589197000","0.7331","2021-11-11"
"1636589208000","0.733079","2021-11-11"
"1636589218000","0.73306","2021-11-11"
"1636589228000","0.733079","2021-11-11"
"1636589238000","0.733122","2021-11-11"
"1636589247000","0.7333","2021-11-11"
"1636589257000","0.7333","2021-11-11"
"1636589269000","0.733122","2021-11-11"
"1636589280000","0.73313","2021-11-11"
"1636589283000","0.73315","2021-11-11"
"1636589300000","0.733251","2021-11-11"
"1636589310000","0.73321","2021-11-11"
"1636589318000","0.73323","2021-11-11"
"1636589331000","0.733159","2021-11-11"
"1636589340000","0.73314","2021-11-11"
"1636589350000","0.73321","2021-11-11"
"1636589362000","0.733514","2021-11-11"
"1636589370000","0.7333","2021-11-11"
"1636589382000","0.733622","2021-11-11"
"1636589393000","0.733342","2021-11-11"
"1636589403000","0.73336","2021-11-11"
"1636589413000","0.7334","2021-11-11"
"1636589423000","0.7334","2021-11-11"
"1636589433000","0.73336","2021-11-11"
"1636589443000","0.7335","2021-11-11"
"1636596900000","0.732","2021-11-11"
"1636596911000","0.73194","2021-11-11"
"1636596921000","0.73186","2021-11-11"
"1636596932000","0.73207","2021-11-11"
"1636596940000","0.73202","2021-11-11"
"1636596951000","0.73202","2021-11-11"
"1636596964000","0.73202","2021-11-11"
"1636596966000","0.7321","2021-11-11"
"1636596968000","0.7322","2021-11-11"
"1636596970000","0.73202","2021-11-11"
"1636596973000","0.732038","2021-11-11"
"1636596974000","0.73202","2021-11-11"
"1636597052000","0.731898","2021-11-11"
"1636597052000","0.731898","2021-11-11"
"1636597059000","0.731968","2021-11-11"
"1636597189000","0.732011","2021-11-11"
"1636597192000","0.731952","2021-11-11"
"1636597194000","0.73192","2021-11-11"
"1636597279000","0.73185","2021-11-11"
"1636597289000","0.73182","2021-11-11"
"1636597296000","0.73184","2021-11-11"
"1636597306000","0.731898","2021-11-11"
"1636597341000","0.7318","2021-11-11"
"1636597351000","0.73179","2021-11-11"
"1636597359000","0.731904","2021-11-11"
"1636597371000","0.73177","2021-11-11"
"1636597382000","0.732011","2021-11-11"
"1636597392000","0.7321","2021-11-11"
"1636597402000","0.7321","2021-11-11"
