"timstamp","fx_rate","timestamp for entry"
"1636597031000","0.69752","2021-11-11"
"1636597034000","0.697525","2021-11-11"
"1636597036000","0.697525","2021-11-11"
"1636597036000","0.697525","2021-11-11"
"1636597040000","0.697491","2021-11-11"
"1636597043000","0.697501","2021-11-11"
"1636597088000","0.697515","2021-11-11"
"1636597091000","0.697564","2021-11-11"
"1636597092000","0.697569","2021-11-11"
"1636597223000","0.697408","2021-11-11"
"1636597225000","0.697438","2021-11-11"
"1636597228000","0.697593","2021-11-11"
"1636601251000","0.69684","2021-11-11"
"1636601261000","0.696845","2021-11-11"
"1636601272000","0.69685","2021-11-11"
"1636601282000","0.696884","2021-11-11"
"1636601292000","0.696869","2021-11-11"
"1636601299000","0.696845","2021-11-11"
"1636601313000","0.696888","2021-11-11"
"1636601323000","0.696913","2021-11-11"
"1636601333000","0.696922","2021-11-11"
"1636601344000","0.696937","2021-11-11"
"1636601352000","0.696922","2021-11-11"
"1636601364000","0.696932","2021-11-11"
"1636601373000","0.696947","2021-11-11"
"1636601385000","0.696918","2021-11-11"
"1636601392000","0.696922","2021-11-11"
"1636601405000","0.696845","2021-11-11"
"1636601415000","0.696893","2021-11-11"
"1636601425000","0.696874","2021-11-11"
"1636601436000","0.696845","2021-11-11"
"1636601443000","0.69684","2021-11-11"
"1636601457000","0.696854","2021-11-11"
"1636601464000","0.69685","2021-11-11"
"1636601474000","0.69682","2021-11-11"
"1636601482000","0.696854","2021-11-11"
"1636601497000","0.696762","2021-11-11"
"1636601508000","0.696782","2021-11-11"
"1636601517000","0.696835","2021-11-11"
"1636601528000","0.696864","2021-11-11"
"1636601538000","0.69683","2021-11-11"
"1636601549000","0.696791","2021-11-11"
"1636601558000","0.696811","2021-11-11"
"1636601569000","0.69682","2021-11-11"
"1636601580000","0.696782","2021-11-11"
"1636601586000","0.696786","2021-11-11"
"1636601599000","0.69682","2021-11-11"
"1636601610000","0.696801","2021-11-11"
"1636601620000","0.696801","2021-11-11"
"1636601630000","0.696806","2021-11-11"
"1636601641000","0.696884","2021-11-11"
"1636601651000","0.69685","2021-11-11"
"1636601662000","0.696816","2021-11-11"
"1636601671000","0.69685","2021-11-11"
"1636601680000","0.696816","2021-11-11"
"1636601692000","0.69684","2021-11-11"
"1636601701000","0.696816","2021-11-11"
"1636601713000","0.696835","2021-11-11"
"1636601721000","0.696874","2021-11-11"
"1636601733000","0.696884","2021-11-11"
"1636601743000","0.696859","2021-11-11"
"1636601754000","0.696879","2021-11-11"
"1636601764000","0.696859","2021-11-11"
