"timstamp","fx_rate","timestamp for entry"
"1636747103000","0.796832","2021-11-12"
"1636747114000","0.7968","2021-11-12"
"1636747124000","0.796806","2021-11-12"
"1636747135000","0.797003","2021-11-12"
"1636747146000","0.796819","2021-11-12"
"1636747157000","0.796825","2021-11-12"
"1636747168000","0.796743","2021-11-12"
"1636747178000","0.796692","2021-11-12"
"1636747189000","0.796679","2021-11-12"
"1636747200000","0.796622","2021-11-12"
"1636747210000","0.796724","2021-11-12"
"1636747221000","0.796686","2021-11-12"
"1636747232000","0.796718","2021-11-12"
"1636747242000","0.796679","2021-11-12"
"1636747253000","0.796724","2021-11-12"
"1636747264000","0.796838","2021-11-12"
"1636747273000","0.79687","2021-11-12"
"1636747285000","0.796902","2021-11-12"
"1636747296000","0.797003","2021-11-12"
"1636747307000","0.796927","2021-11-12"
"1636747317000","0.796876","2021-11-12"
"1636747328000","0.796876","2021-11-12"
"1636747338000","0.796876","2021-11-12"
"1636747347000","0.796889","2021-11-12"
"1636747360000","0.796883","2021-11-12"
"1636747370000","0.796883","2021-11-12"
"1636747382000","0.797003","2021-11-12"
"1636747392000","0.797003","2021-11-12"
"1636747402000","0.796889","2021-11-12"
"1636747412000","0.796889","2021-11-12"
"1636747424000","0.796889","2021-11-12"
"1636747426000","0.796883","2021-11-12"
"1636747443000","0.796927","2021-11-12"
"1636747452000","0.796883","2021-11-12"
"1636747467000","0.796921","2021-11-12"
"1636747474000","0.79694","2021-11-12"
"1636747488000","0.797022","2021-11-12"
"1636747499000","0.797067","2021-11-12"
"1636747510000","0.796984","2021-11-12"
"1636747520000","0.797003","2021-11-12"
"1636747530000","0.796972","2021-11-12"
"1636747542000","0.796978","2021-11-12"
"1636747552000","0.796927","2021-11-12"
"1636747561000","0.796927","2021-11-12"
"1636747574000","0.796946","2021-11-12"
"1636747585000","0.797067","2021-11-12"
"1636747595000","0.79713","2021-11-12"
"1636747606000","0.796978","2021-11-12"
"1636747616000","0.797003","2021-11-12"
"1636747625000","0.797003","2021-11-12"
"1636747638000","0.796927","2021-11-12"
"1636747647000","0.796933","2021-11-12"
"1636747659000","0.796991","2021-11-12"
"1636747670000","0.797067","2021-11-12"
"1636747681000","0.797016","2021-11-12"
"1636747692000","0.797022","2021-11-12"
"1636747702000","0.797168","2021-11-12"
"1636747711000","0.79713","2021-11-12"
"1636747722000","0.79713","2021-11-12"
"1636747734000","0.79706","2021-11-12"
"1636747745000","0.796991","2021-11-12"
"1636747756000","0.797041","2021-11-12"
"1636747767000","0.797168","2021-11-12"
"1636747778000","0.797035","2021-11-12"
"1636747788000","0.79713","2021-11-12"
"1636747796000","0.797067","2021-11-12"
"1636747809000","0.797073","2021-11-12"
"1636747819000","0.797035","2021-11-12"
"1636747829000","0.797035","2021-11-12"
"1636747840000","0.797035","2021-11-12"
"1636747852000","0.797067","2021-11-12"
"1636747862000","0.797067","2021-11-12"
"1636747872000","0.79713","2021-11-12"
"1636747882000","0.797162","2021-11-12"
"1636747892000","0.79713","2021-11-12"
"1636747904000","0.797073","2021-11-12"
"1636747917000","0.797162","2021-11-12"
"1636747926000","0.797092","2021-11-12"
"1636747938000","0.79713","2021-11-12"
"1636747949000","0.79708","2021-11-12"
"1636747958000","0.79713","2021-11-12"
"1636747968000","0.797143","2021-11-12"
"1636747979000","0.797149","2021-11-12"
"1636747992000","0.797111","2021-11-12"
"1636748002000","0.797219","2021-11-12"
"1636748010000","0.797118","2021-11-12"
