"timstamp","fx_rate","timestamp for entry"
"1636597217000","1.088874","2021-11-11"
"1636597218000","1.088862","2021-11-11"
"1636597220000","1.088874","2021-11-11"
"1636599403000","1.088424","2021-11-11"
"1636599413000","1.088388","2021-11-11"
"1636599422000","1.088364","2021-11-11"
"1636599435000","1.088388","2021-11-11"
"1636599444000","1.088352","2021-11-11"
"1636599452000","1.088317","2021-11-11"
"1636599466000","1.088305","2021-11-11"
"1636599474000","1.088317","2021-11-11"
"1636599485000","1.088352","2021-11-11"
"1636599497000","1.088495","2021-11-11"
"1636599507000","1.088376","2021-11-11"
"1636599518000","1.088352","2021-11-11"
"1636599528000","1.088329","2021-11-11"
"1636599537000","1.088495","2021-11-11"
"1636599548000","1.088376","2021-11-11"
"1636599557000","1.088495","2021-11-11"
"1636599565000","1.088376","2021-11-11"
"1636599579000","1.088495","2021-11-11"
"1636599588000","1.088364","2021-11-11"
"1636599595000","1.088317","2021-11-11"
"1636599607000","1.088388","2021-11-11"
"1636599618000","1.088364","2021-11-11"
"1636599630000","1.088364","2021-11-11"
"1636599640000","1.088329","2021-11-11"
"1636599651000","1.088329","2021-11-11"
"1636599661000","1.088317","2021-11-11"
"1636599671000","1.088384","2021-11-11"
"1636599679000","1.088329","2021-11-11"
"1636599692000","1.088352","2021-11-11"
"1636599702000","1.088305","2021-11-11"
"1636599710000","1.088293","2021-11-11"
"1636599720000","1.088352","2021-11-11"
"1636599733000","1.088341","2021-11-11"
"1636599740000","1.088364","2021-11-11"
"1636599750000","1.088364","2021-11-11"
"1636599763000","1.088341","2021-11-11"
"1636599774000","1.088329","2021-11-11"
"1636599778000","1.08827","2021-11-11"
"1636599793000","1.08827","2021-11-11"
"1636599804000","1.088281","2021-11-11"
"1636599815000","1.088258","2021-11-11"
"1636599824000","1.088258","2021-11-11"
"1636599832000","1.088246","2021-11-11"
"1636599842000","1.088258","2021-11-11"
"1636599842000","1.088258","2021-11-11"
"1636599866000","1.088258","2021-11-11"
"1636599875000","1.088234","2021-11-11"
"1636599886000","1.088281","2021-11-11"
"1636599897000","1.08821","2021-11-11"
"1636599906000","1.088222","2021-11-11"
"1636599917000","1.088329","2021-11-11"
"1636599928000","1.088234","2021-11-11"
"1636599929000","1.088222","2021-11-11"
"1636599944000","1.088234","2021-11-11"
"1636599959000","1.088362","2021-11-11"
"1636599969000","1.08827","2021-11-11"
"1636599977000","1.088364","2021-11-11"
"1636599988000","1.088246","2021-11-11"
"1636599998000","1.088258","2021-11-11"
"1636600009000","1.088246","2021-11-11"
"1636600015000","1.088258","2021-11-11"
"1636600021000","1.08827","2021-11-11"
"1636600040000","1.088281","2021-11-11"
"1636600042000","1.08827","2021-11-11"
"1636600061000","1.08827","2021-11-11"
"1636600070000","1.08827","2021-11-11"
"1636600080000","1.08827","2021-11-11"
"1636600083000","1.088293","2021-11-11"
"1636600100000","1.088281","2021-11-11"
"1636600112000","1.088293","2021-11-11"
"1636600117000","1.088305","2021-11-11"
"1636600130000","1.088281","2021-11-11"
"1636600143000","1.088305","2021-11-11"
"1636600154000","1.088305","2021-11-11"
"1636600161000","1.088281","2021-11-11"
"1636600174000","1.088305","2021-11-11"
"1636600180000","1.088364","2021-11-11"
"1636600190000","1.088376","2021-11-11"
"1636600205000","1.088329","2021-11-11"
"1636600213000","1.088329","2021-11-11"
"1636600225000","1.088364","2021-11-11"
"1636600235000","1.088364","2021-11-11"
"1636600246000","1.088376","2021-11-11"
"1636600255000","1.088364","2021-11-11"
"1636600255000","1.088364","2021-11-11"
"1636600271000","1.088364","2021-11-11"
"1636600281000","1.088364","2021-11-11"
"1636600295000","1.088352","2021-11-11"
"1636600308000","1.088459","2021-11-11"
"1636600318000","1.088364","2021-11-11"
"1636600327000","1.088364","2021-11-11"
"1636600338000","1.088483","2021-11-11"
"1636600343000","1.088376","2021-11-11"
"1636600352000","1.088364","2021-11-11"
"1636600368000","1.088341","2021-11-11"
"1636600379000","1.088364","2021-11-11"
"1636600389000","1.088364","2021-11-11"
"1636600398000","1.088364","2021-11-11"
"1636600407000","1.088364","2021-11-11"
"1636600419000","1.088364","2021-11-11"
"1636600430000","1.088376","2021-11-11"
"1636600440000","1.088364","2021-11-11"
"1636600451000","1.088364","2021-11-11"
"1636600452000","1.088364","2021-11-11"
"1636600469000","1.088352","2021-11-11"
"1636600478000","1.088258","2021-11-11"
"1636600490000","1.088258","2021-11-11"
"1636600502000","1.088376","2021-11-11"
"1636600513000","1.088471","2021-11-11"
"1636600522000","1.088483","2021-11-11"
"1636600533000","1.088447","2021-11-11"
"1636600543000","1.088412","2021-11-11"
"1636600553000","1.088447","2021-11-11"
"1636600562000","1.088435","2021-11-11"
"1636600572000","1.088412","2021-11-11"
"1636600584000","1.088424","2021-11-11"
"1636600595000","1.088471","2021-11-11"
"1636600605000","1.088435","2021-11-11"
"1636600616000","1.088471","2021-11-11"
"1636600626000","1.088471","2021-11-11"
"1636600635000","1.088483","2021-11-11"
"1636600644000","1.088435","2021-11-11"
"1636600656000","1.088459","2021-11-11"
"1636600667000","1.088447","2021-11-11"
"1636600675000","1.088459","2021-11-11"
"1636600686000","1.088447","2021-11-11"
