"timstamp","fx_rate","timestamp for entry"
"1636597209000","1.05404","2021-11-11"
"1636597210000","1.05411","2021-11-11"
"1636597214000","1.05402","2021-11-11"
"1636597557000","1.05398","2021-11-11"
"1636597565000","1.0539","2021-11-11"
"1636597578000","1.05398","2021-11-11"
"1636597584000","1.05399","2021-11-11"
"1636597597000","1.0539","2021-11-11"
"1636597608000","1.05389","2021-11-11"
"1636597617000","1.05391","2021-11-11"
"1636597626000","1.0539","2021-11-11"
"1636597636000","1.0539","2021-11-11"
"1636597648000","1.054","2021-11-11"
"1636597656000","1.054","2021-11-11"
"1636597671000","1.05391","2021-11-11"
"1636597680000","1.05402","2021-11-11"
"1636597690000","1.05403","2021-11-11"
"1636597700000","1.05404","2021-11-11"
"1636597708000","1.0541","2021-11-11"
"1636597721000","1.05395","2021-11-11"
"1636597731000","1.05404","2021-11-11"
"1636597741000","1.05404","2021-11-11"
"1636597752000","1.05396","2021-11-11"
"1636597761000","1.0538","2021-11-11"
"1636597771000","1.05406","2021-11-11"
"1636597783000","1.0539","2021-11-11"
"1636597793000","1.054","2021-11-11"
"1636597804000","1.05395","2021-11-11"
"1636597813000","1.0539","2021-11-11"
"1636597824000","1.0541","2021-11-11"
"1636597834000","1.0541","2021-11-11"
"1636597840000","1.05403","2021-11-11"
"1636597854000","1.05394","2021-11-11"
"1636597866000","1.05407","2021-11-11"
"1636597875000","1.05413","2021-11-11"
"1636597880000","1.05412","2021-11-11"
"1636597896000","1.05414","2021-11-11"
"1636597906000","1.05399","2021-11-11"
"1636597916000","1.05403","2021-11-11"
"1636597927000","1.05401","2021-11-11"
"1636597937000","1.05403","2021-11-11"
"1636597946000","1.05416","2021-11-11"
"1636597957000","1.05401","2021-11-11"
"1636597968000","1.05407","2021-11-11"
"1636597975000","1.05411","2021-11-11"
"1636597987000","1.05421","2021-11-11"
"1636597998000","1.0542","2021-11-11"
"1636598004000","1.0541","2021-11-11"
"1636598019000","1.054","2021-11-11"
"1636598029000","1.0541","2021-11-11"
"1636598039000","1.0541","2021-11-11"
"1636598050000","1.05418","2021-11-11"
"1636598060000","1.0542","2021-11-11"
"1636598070000","1.0541","2021-11-11"
"1636598080000","1.054","2021-11-11"
"1636598090000","1.05421","2021-11-11"
"1636598102000","1.05421","2021-11-11"
"1636598109000","1.05422","2021-11-11"
"1636598121000","1.05417","2021-11-11"
"1636598131000","1.05412","2021-11-11"
"1636598141000","1.05413","2021-11-11"
"1636598153000","1.05415","2021-11-11"
"1636598163000","1.05425","2021-11-11"
"1636598173000","1.05417","2021-11-11"
"1636598179000","1.05424","2021-11-11"
"1636598193000","1.0542","2021-11-11"
"1636598200000","1.05421","2021-11-11"
"1636598213000","1.0542","2021-11-11"
"1636598224000","1.05413","2021-11-11"
"1636598234000","1.05417","2021-11-11"
"1636598243000","1.0539","2021-11-11"
"1636598255000","1.05408","2021-11-11"
"1636598264000","1.05405","2021-11-11"
"1636598275000","1.0542","2021-11-11"
"1636598285000","1.05419","2021-11-11"
"1636598296000","1.05409","2021-11-11"
"1636598306000","1.05411","2021-11-11"
"1636598315000","1.05411","2021-11-11"
"1636598327000","1.05406","2021-11-11"
"1636598333000","1.0539","2021-11-11"
"1636598344000","1.0542","2021-11-11"
"1636598358000","1.0538","2021-11-11"
"1636598364000","1.05416","2021-11-11"
"1636598378000","1.05423","2021-11-11"
"1636598388000","1.05405","2021-11-11"
"1636598390000","1.05415","2021-11-11"
"1636598409000","1.054","2021-11-11"
"1636598419000","1.054","2021-11-11"
"1636598427000","1.05406","2021-11-11"
"1636598439000","1.0541","2021-11-11"
"1636598449000","1.05415","2021-11-11"
"1636598460000","1.05415","2021-11-11"
"1636598470000","1.05415","2021-11-11"
"1636598480000","1.05416","2021-11-11"
"1636598486000","1.05407","2021-11-11"
"1636598500000","1.05413","2021-11-11"
"1636598509000","1.0541","2021-11-11"
"1636598521000","1.05404","2021-11-11"
"1636598529000","1.05406","2021-11-11"
"1636598542000","1.05416","2021-11-11"
"1636598548000","1.05416","2021-11-11"
"1636598561000","1.054","2021-11-11"
"1636598571000","1.0541","2021-11-11"
"1636598580000","1.05416","2021-11-11"
"1636598594000","1.05416","2021-11-11"
"1636598602000","1.05408","2021-11-11"
"1636598614000","1.05417","2021-11-11"
"1636598621000","1.0542","2021-11-11"
"1636598634000","1.05417","2021-11-11"
"1636598645000","1.05409","2021-11-11"
"1636598652000","1.05416","2021-11-11"
"1636598665000","1.05417","2021-11-11"
"1636598674000","1.05416","2021-11-11"
"1636598683000","1.05406","2021-11-11"
"1636598694000","1.05414","2021-11-11"
"1636598705000","1.05409","2021-11-11"
"1636598717000","1.05406","2021-11-11"
"1636598727000","1.054","2021-11-11"
"1636598737000","1.05409","2021-11-11"
"1636598748000","1.05408","2021-11-11"
"1636598758000","1.05408","2021-11-11"
"1636598768000","1.05407","2021-11-11"
"1636598778000","1.05408","2021-11-11"
"1636598787000","1.054","2021-11-11"
"1636598798000","1.05409","2021-11-11"
"1636598804000","1.0542","2021-11-11"
"1636598820000","1.05405","2021-11-11"
"1636598830000","1.0541","2021-11-11"
"1636598840000","1.05398","2021-11-11"
"1636598851000","1.05398","2021-11-11"
"1636598860000","1.05414","2021-11-11"
"1636598870000","1.05406","2021-11-11"
"1636598881000","1.05406","2021-11-11"
"1636598890000","1.05406","2021-11-11"
"1636598901000","1.05395","2021-11-11"
"1636598911000","1.05396","2021-11-11"
"1636598922000","1.05407","2021-11-11"
