"timstamp","fx_rate","timestamp for entry"
"1636747098000","1.144623","2021-11-12"
"1636747113000","1.14461","2021-11-12"
"1636747125000","1.144584","2021-11-12"
"1636747136000","1.144584","2021-11-12"
"1636747145000","1.1448","2021-11-12"
"1636747156000","1.14461","2021-11-12"
"1636747168000","1.144951","2021-11-12"
"1636747178000","1.144518","2021-11-12"
"1636747189000","1.144414","2021-11-12"
"1636747200000","1.144335","2021-11-12"
"1636747208000","1.144558","2021-11-12"
"1636747221000","1.144505","2021-11-12"
"1636747231000","1.144374","2021-11-12"
"1636747240000","1.1444","2021-11-12"
"1636747253000","1.144558","2021-11-12"
"1636747264000","1.144505","2021-11-12"
"1636747272000","1.144466","2021-11-12"
"1636747285000","1.144505","2021-11-12"
"1636747293000","1.144689","2021-11-12"
"1636747306000","1.144518","2021-11-12"
"1636747318000","1.144558","2021-11-12"
"1636747328000","1.14461","2021-11-12"
"1636747339000","1.144545","2021-11-12"
"1636747349000","1.144558","2021-11-12"
"1636747360000","1.144545","2021-11-12"
"1636747368000","1.144518","2021-11-12"
"1636747380000","1.144545","2021-11-12"
"1636747391000","1.144518","2021-11-12"
"1636747399000","1.144518","2021-11-12"
"1636747409000","1.144558","2021-11-12"
"1636747424000","1.144531","2021-11-12"
"1636747428000","1.144545","2021-11-12"
"1636747442000","1.144531","2021-11-12"
"1636747451000","1.144531","2021-11-12"
"1636747466000","1.144518","2021-11-12"
"1636747476000","1.1447","2021-11-12"
"1636747481000","1.144558","2021-11-12"
"1636747496000","1.144571","2021-11-12"
"1636747509000","1.144636","2021-11-12"
"1636747520000","1.144584","2021-11-12"
"1636747530000","1.144558","2021-11-12"
"1636747538000","1.14482","2021-11-12"
"1636747553000","1.144689","2021-11-12"
"1636747563000","1.144689","2021-11-12"
"1636747571000","1.144689","2021-11-12"
"1636747585000","1.144558","2021-11-12"
"1636747586000","1.144571","2021-11-12"
"1636747606000","1.144584","2021-11-12"
"1636747616000","1.144584","2021-11-12"
"1636747625000","1.1448","2021-11-12"
"1636747638000","1.14461","2021-11-12"
"1636747648000","1.144623","2021-11-12"
"1636747659000","1.144597","2021-11-12"
"1636747659000","1.144597","2021-11-12"
"1636747679000","1.144689","2021-11-12"
"1636747692000","1.144597","2021-11-12"
"1636747692000","1.144597","2021-11-12"
"1636747711000","1.144636","2021-11-12"
"1636747722000","1.144623","2021-11-12"
"1636747725000","1.1448","2021-11-12"
"1636747745000","1.1448","2021-11-12"
"1636747755000","1.144623","2021-11-12"
"1636747767000","1.144597","2021-11-12"
"1636747775000","1.1447","2021-11-12"
"1636747786000","1.144623","2021-11-12"
"1636747797000","1.144636","2021-11-12"
"1636747797000","1.144636","2021-11-12"
"1636747817000","1.144689","2021-11-12"
"1636747829000","1.144689","2021-11-12"
"1636747842000","1.144649","2021-11-12"
"1636747848000","1.144636","2021-11-12"
"1636747861000","1.144649","2021-11-12"
"1636747872000","1.144662","2021-11-12"
"1636747881000","1.144689","2021-11-12"
"1636747892000","1.144662","2021-11-12"
"1636747906000","1.144636","2021-11-12"
"1636747916000","1.144951","2021-11-12"
"1636747926000","1.1447","2021-11-12"
"1636747938000","1.14461","2021-11-12"
"1636747947000","1.144597","2021-11-12"
"1636747956000","1.1449","2021-11-12"
"1636747969000","1.144571","2021-11-12"
"1636747980000","1.144558","2021-11-12"
"1636747988000","1.144689","2021-11-12"
"1636747993000","1.144558","2021-11-12"
"1636748011000","1.144689","2021-11-12"
"1636748019000","1.144689","2021-11-12"
"1636748033000","1.144505","2021-11-12"
"1636748045000","1.144505","2021-11-12"
"1636748054000","1.144505","2021-11-12"
"1636748065000","1.1448","2021-11-12"
"1636748075000","1.1447","2021-11-12"
"1636748085000","1.144505","2021-11-12"
"1636748094000","1.144689","2021-11-12"
"1636748109000","1.144479","2021-11-12"
"1636748115000","1.1448","2021-11-12"
"1636748128000","1.14482","2021-11-12"
"1636748139000","1.144427","2021-11-12"
"1636748149000","1.144558","2021-11-12"
"1636748159000","1.144348","2021-11-12"
"1636748173000","1.144361","2021-11-12"
"1636748183000","1.144322","2021-11-12"
"1636748188000","1.144348","2021-11-12"
"1636748205000","1.1445","2021-11-12"
"1636748213000","1.144296","2021-11-12"
"1636748225000","1.1444","2021-11-12"
"1636748233000","1.144309","2021-11-12"
"1636748248000","1.144309","2021-11-12"
"1636748258000","1.144296","2021-11-12"
"1636748266000","1.1444","2021-11-12"
"1636748278000","1.144309","2021-11-12"
"1636748278000","1.144309","2021-11-12"
"1636748301000","1.144296","2021-11-12"
"1636748308000","1.144309","2021-11-12"
"1636748314000","1.144322","2021-11-12"
"1636748333000","1.144322","2021-11-12"
"1636748344000","1.144322","2021-11-12"
"1636748350000","1.144322","2021-11-12"
"1636748366000","1.1445","2021-11-12"
"1636748376000","1.1444","2021-11-12"
"1636748387000","1.144348","2021-11-12"
"1636748395000","1.1445","2021-11-12"
"1636748406000","1.1444","2021-11-12"
"1636748416000","1.1445","2021-11-12"
"1636748429000","1.144348","2021-11-12"
"1636748435000","1.144348","2021-11-12"
"1636748446000","1.144335","2021-11-12"
"1636748461000","1.144296","2021-11-12"
"1636748465000","1.1444","2021-11-12"
"1636748475000","1.1445","2021-11-12"
"1636748492000","1.144269","2021-11-12"
"1636748505000","1.1444","2021-11-12"
"1636748506000","1.144296","2021-11-12"
"1636748525000","1.1445","2021-11-12"
"1636748534000","1.144269","2021-11-12"
"1636748545000","1.1446","2021-11-12"
"1636748553000","1.144296","2021-11-12"
"1636748564000","1.144309","2021-11-12"
"1636748579000","1.144309","2021-11-12"
"1636748589000","1.144296","2021-11-12"
"1636748597000","1.144335","2021-11-12"
"1636748609000","1.144335","2021-11-12"
"1636748621000","1.144296","2021-11-12"
"1636748632000","1.144296","2021-11-12"
"1636748639000","1.144309","2021-11-12"
"1636748655000","1.144558","2021-11-12"
"1636748655000","1.1446","2021-11-12"
"1636748675000","1.1445","2021-11-12"
"1636748685000","1.144296","2021-11-12"
"1636748685000","1.144296","2021-11-12"
